OBJECTID,fips,Year_1983,Year_1984,Year_1985,Year_1986,Year_1987,Year_1988,Year_1989,Year_1990,Year_1991,Year_1992,Year_1993,Year_1994,Year_1995,Year_1996,Year_1997,Year_1998,Year_1999,Year_2000,Year_2001,Year_2002,Year_2003,Year_2004,Year_2005,Year_2006,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Sum_All_Years
20,05127,0.0000000,0.0000000,0.0000000,0.0000000,475.0000000,0.0000000,0.0000000,0.0000000,2.2340000,7.5130000,6.4770002,1.6720001,0.0000000,215.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,707.8959961
21,05131,46.9000015,44.2989998,54.5099983,151.7870026,585.9539795,39.8069992,59.7280006,144.2519989,98.8679962,672.3280029,12.3950005,23.8230000,5.0170002,4.3160000,4.6199999,4.0019999,3.6429999,5.5229998,10.6429996,1698.5970459,7.5640001,950.3839722,2.5630000,22.7520008,82.6770020,69.1809998,661.9799805,32.3009987,133.3470001,73.0000000,58.5779991,5765.3383789
22,06005,0.0000000,0.0000000,0.0000000,0.0000000,46.1850014,53.5260010,40.7270012,61.0000000,56.6040001,103.3860016,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,361.4279785
23,08001,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,21.0900002,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,21.0900002
24,08029,561.9680176,597.2860107,1211.6459961,333.4049988,454.9389954,421.4639893,517.1560059,584.8099976,901.8430176,0.0000000,0.0000000,750.9669800,404.5400085,602.6950073,804.3170166,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,599.9899902,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,336.0000000,0.0000000,9083.0263672
25,08043,661.8560181,312.2489929,349.5769958,363.1239929,378.7810059,420.1900024,498.6629944,327.9769897,332.5740051,355.1140137,317.6759949,310.3210144,302.2059937,170.3869934,226.5540009,226.3339996,242.1970062,196.9279938,562.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,6554.7080078
26,08045,0.0000000,0.0000000,0.0000000,1.4380000,1.0680000,10.7860003,128.0229950,215.7879944,250.9539948,59.9140015,1.1390001,4.7110000,376.0000000,0.0000000,49.1150017,0.0000000,0.0000000,305.0440063,323.0069885,327.2430115,287.1830139,300.7609863,260.8909912,262.6340027,247.1199951,283.1499939,259.4760132,199.6499939,0.0000000,0.0000000,0.0000000,4155.0947266
27,08051,625.6459961,849.3839722,1101.6219482,923.7490234,802.9119873,803.1250000,865.0000000,949.9030151,1276.2309570,1326.7180176,1251.7860107,406.5159912,473.2999878,335.7640076,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,595.5079956,494.4819946,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,713.0000000,436.3810120,14231.0263672
28,08057,159.6399994,235.3379974,200.6739960,188.2879944,74.9459991,42.4300003,26.8379993,66.7500000,61.7089996,54.9700012,3.5270000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1115.1098633
29,08067,63.1119995,105.6880035,79.9800034,114.0139999,90.5319977,143.2449951,160.3679962,165.5010071,176.6219940,172.3800049,174.2870026,234.5850067,208.6450043,198.8549957,221.9600067,283.2109985,245.7189941,186.4539948,268.7550049,312.3450012,393.9450073,458.6050110,465.8770142,488.3269958,470.0989990,391.9179993,507.2959900,521.8389893,618.1320190,81.0000000,734.9929810,8738.2890625
