Historic Coal Production Data: 2001,,,,,,,,,,,,,,,
Source: The U.S. Energy Information Administration (EIA) and the U.S. Mine Safety and Health Administration,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Basin,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Production (short tons),Average Employees,Labor Hours
2001,101362,Manchester Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Black Warrior Minerals, Inc.","P O Box 1190, Sumiton, AL 35148",,"56,886",9,"16,825"
2001,102982,Ninna V Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Birmingham Coal & Coke Co. Inc,"2477 Valleydale Rd. S.B3, Birmingham, AL 35244",,"43,433",4,"11,311"
2001,102996,Jap Creek Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"New Acton Coal Mining Co., Inc","1892 Cordova-Gorgas Road, Cordova, AL 35550",,"290,062",41,"113,828"
2001,103002,Corinth Mine,Alabama,Walker,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine only,"Iron, Inc.","3844 Cordova-Gorgas Road, Cordova, AL 35550",,"109,529",26,"45,393"
2001,103080,Rices Chapel Mine,Alabama,Walker,Appalachia Southern,Permanently abandoned,Surface,Indepedent Producer Operator,Mine only,"M.S.&r.Equipment Co, Inc.","2361 Cumberland Lake Dr., Pinson, AL 35126",,"3,160",-,-
2001,103081,Mine No 1,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Twin Pines Coal Company Inc,"1874 Co Rd 15, Bremen, AL 35033",,"277,036",43,"107,023"
2001,103106,Gayosa,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Taft Coal Sales & Associates,","Post Office Box 328, Oakman, AL 35579",,"111,646",19,"47,915"
2001,103107,Fancy Lump Mine No 2,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Treadyway Inc,"Post Office Box 932, Jasper, AL 35502",,"172,205",27,"66,333"
2001,103116,L. Massey Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Mann Steel Products,"Post Office Box 531044, Birmingham, AL 35253",,"139,937",14,"30,836"
2001,103129,Dilworth Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Ms&r Equipment Co., Inc.","2361 Cumberland Lake Dr, Pinson, AL 35126",,"60,133",9,"19,088"
2001,103131,Dixie Mine,Alabama,Walker,Appalachia Southern,Permanently abandoned,Surface,Contractor,Mine only,"Ellis Minerals, Llc","Post Office Box 326, Oakman, AL 35579",,"34,514",20,"12,393"
2001,103145,Pumpkin Center Plant,Alabama,Walker,Appalachia Southern,Permanently abandoned,Surface,Operating Subsidiary,Preparation Plant,Pacificorp Syn Fuel Llc,"19337 Hwy 269, Quinton, AL 35130",,0,9,"9,678"
2001,103145,Pumpkin Center Plant,Alabama,Walker,Appalachia Southern,Permanently abandoned,Underground,Operating Subsidiary,Preparation Plant,Pacificorp Syn Fuel Llc,"19337 Hwy 269, Quinton, AL 35130",,0,9,"9,678"
2001,103155,Corinth Prep Plant,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Preparation Plant,"Warrior Investment Co., Inc.","218 Highway 195, Jasper, AL 35503",,0,5,"8,052"
2001,103155,Corinth Prep Plant,Alabama,Walker,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Preparation Plant,"Warrior Investment Co., Inc.","218 Highway 195, Jasper, AL 35503",,0,8,"14,954"
2001,103162,Guthrie Creek Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Uptown Motors, Inc.","P. O. Box 432, Jasper, AL 35502",,"254,141",25,"68,242"
2001,103195,Mccollum Mine,Alabama,Walker,Appalachia Southern,Temporarily closed,Surface,Indepedent Producer Operator,Mine only,"Uptown Motors, Inc.","Post Office Box 432, Jasper, AL 35502",,"15,700",3,960
