Historic Coal Production Data: 1991,,,,,,,,,,,,,
Source: The U.S. Energy Information Administration (EIA) and the U.S. Mine Safety and Health Administration,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Basin,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Production (short tons)
1991,102866,Flatwood Mine,Alabama,Walker,Appalachia Southern,Active,Surface,-,Mine only,"Haley Bros. & Partridge Coal,","P O Box 322, Haleyville, AL 35565",-,"64,359"
1991,102873,Mine No. 6,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Lost Creek Coal Co., Inc.","Route 5, Box 540, Jasper, AL 35501",-,"82,795"
1991,102875,Clark Hollow Mine,Alabama,Walker,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Contract Augering Services, In","1300 Beakon Pky East #70, Birmingham, AL 35209",-,"5,418"
1991,102876,Magbee Bend No. 1 Mine,Alabama,Walker,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine only,"Contract Augering Services, In","P O Box 7345, Birmingham, AL 35214",-,"1,265"
1991,102889,Joshua Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Bookout Construction Corporati,"P O Box 2421, Jasper, AL 35502",-,"20,262"
1991,102891,Sipsey Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Contract Augering Services, In","P O Box 7345, Birmingham, AL 35253",-,"15,755"
1991,102893,Freeman Branch,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"C & H Mining Company, Inc.","P O Drawer G, Cottondale, AL 35453",-,"86,902"
1991,102897,Lockhart,Alabama,Walker,Appalachia Southern,Active,Surface,-,Mine only,"Egypt Contracting Co., Inc.","Route 1 Box 708, Empire, AL 35063",-,"17,777"
1991,102899,Pit No. 64-17,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Cordova Clay Co., Inc.","P O Box 100, Cordova, AL 35550",-,"27,212"
1991,102905,"Captain ""d"" Mine",Alabama,Walker,Appalachia Southern,Active,Surface,-,Mine only,Black Warrior Minerals,"P O Drawer P, Sumiton, AL 35148",-,"77,566"
1991,102906,Eldridge Mine,Alabama,Walker,Appalachia Southern,Active,Surface,-,Mine only,"Central Mining, Inc.","P O Box 3052, Jasper, AL 35502",-,"19,398"
